Run Name,Mean Average Precision,Mean P@10,Mean NDCG@10,Mean NDCG@1000,Mean TBG
student11,0.137,0.167,0.210,0.299,1.128
student3,0.099,0.158,0.181,0.312,1.256
student2,0.141,0.193,0.251,0.344,1.250
student10,bad format,bad format,bad format,bad format,bad format
student12,bad format,bad format,bad format,bad format,bad format
student9,0.139,0.204,0.241,0.327,1.588
student13,0.073,0.093,0.095,0.201,0.768
student8,0.213,0.260,0.346,0.438,1.866
student1,0.250,0.282,0.371,0.485,2.033
student4,0.202,0.244,0.328,0.427,1.756
msmuckerAND,0.098,0.133,0.161,0.273,0.819
student5,0.224,0.256,0.320,0.464,1.977
student7,bad format,bad format,bad format,bad format,bad format
student6,bad format,bad format,bad format,bad format,bad format
student14,0.200,0.251,0.323,0.415,1.756
