topic_id,baseline,porterstemmer,Difference
401,0.04520136245167289,0.10411055698541759,0.0589091945337447
402,0.060583178844830304,0.20679423147331863,0.14621105262848832
403,0.5075373854785619,0.5075373854785619,0.0
404,0.004080854309687262,0.009737076648841355,0.005656222339154093
405,0.031189797856464523,0.02639092389092389,-0.004798873965540632
406,0.3937300990779514,0.43962551609610434,0.04589541701815292
407,0.2049215955326435,0.16781521664312588,-0.03710637888951762
408,0.09428896657465555,0.13602167770378476,0.04173271112912921
409,0.1,0.1,0.0
410,1.0,1.0,0.0
411,0.09232970514432488,0.1775343846381666,0.08520467949384171
412,0.36413385360822703,0.45429034350192804,0.09015648989370101
413,0.010101010101010102,0.08333333333333333,0.07323232323232323
414,0.09199280251911829,0.10541979949874687,0.013426996979628583
415,0.25,0.25,0.0
417,0.3372253000175782,0.35537142472554184,0.018146124707963618
418,0.13859837561741611,0.263782026110302,0.12518365049288588
419,0.5084805739945334,0.5833333333333334,0.07485275933879998
420,0.6216943897542843,0.617050353172872,-0.004644036581412214
421,0.017413998299527823,0.018931557573567133,0.0015175592740393103
422,0.36528367227152864,0.37623030016503206,0.010946627893503424
424,0.020552056737392257,0.15405647887569035,0.1335044221382981
425,0.2847815216801742,0.48215491228549373,0.19737339060531955
426,0.02755211103337166,0.03446992861728693,0.0069178175839152665
427,0.07982614016051345,0.09740455460942925,0.017578414448915794
428,0.25336107074913494,0.10812841530054644,-0.1452326554485885
429,0.28126786093374917,0.7986111111111112,0.517343250177362
430,0.4811325611325611,0.6202564102564103,0.13912384912384923
431,0.0947311875159835,0.31724427564866625,0.22251308813268275
432,0.003531948268021692,0.0016822788852686572,-0.001849669382753035
433,0.005198412698412699,0.005032206119162641,-0.00016620657925005798
434,0.55,0.5434782608695652,-0.006521739130434856
435,0.06252079842333978,0.03947754839963145,-0.023043250023708335
436,0.03744550774375304,0.0896204315407874,0.05217492379703436
438,0.09454928239552642,0.11505232965550223,0.020503047259975815
439,0.0037277440919837924,0.014590316027476154,0.010862571935492362
440,0.5822984052355868,0.5682617814773546,-0.014036623758232225
441,0.6079365079365079,0.6496031746031746,0.04166666666666674
442,0.02486840999715128,0.022895624473549328,-0.001972785523601951
443,0.1088188445075541,0.10541211947233003,-0.003406725035224059
445,0.24444444444444446,0.24444444444444446,0.0
446,0.029155490169778902,0.024978826146836566,-0.004176664022942336
448,0.01759230594354984,0.009247231086586797,-0.008345074856963045
449,0.00950168918918919,0.007454867827208253,-0.0020468213619809364
450,0.22565571592103092,0.24360351977412997,0.017947803853099048
